"year","variable","value"
2014,"Lepto",0.0586011342155009
2015,"Lepto",0.00102669404517454
2016,"Lepto",0.00503778337531486
2017,"Lepto",0.0773809523809524
2018,"Lepto",0.286821705426357
2019,"Lepto",0.0856269113149847
2020,"Lepto",0.0392156862745098
2021,"Lepto",0.0754716981132075
2022,"Lepto",0.286274509803922
2023,"Lepto",0.284210526315789
2024,"Lepto",0.102941176470588
2025,"Lepto",0.560145808019441
1990,"Lepto",0.031404958677686
1991,"Lepto",0.0984455958549223
1992,"Lepto",0.00432632880098887
1993,"Lepto",0.00946372239747634
1994,"Lepto",0.113908872901679
1995,"Lepto",0.184795321637427
1996,"Lepto",0.0211360634081902
1997,"Lepto",0.0561456752655539
1998,"Lepto",0.0174893120870579
1999,"Lepto",0.153448275862069
2000,"Lepto",0.106626047220107
2001,"Lepto",0.0444874274661509
2002,"Lepto",0.0177845528455285
2003,"Lepto",0.00575685743311886
2004,"Lepto",0.147891755821271
2005,"Lepto",0.0231277533039648
2006,"Lepto",0.0994974874371859
2007,"Lepto",0.0522264980758659
2008,"Lepto",0.0723019670388091
2009,"Lepto",0.00843672456575682
2010,"Lepto",0.0144687887556842
2011,"Lepto",0.180458624127617
2012,"Lepto",0.0208728652751423
2013,"Lepto",0.000848176420695505
2014,"DA",0.226843100189036
2015,"DA",0.168377823408624
2016,"DA",0.128463476070529
2017,"DA",0.130952380952381
2018,"DA",0.062015503875969
2019,"DA",0.220183486238532
2020,"DA",0.202614379084967
2021,"DA",0.160377358490566
2022,"DA",0.117647058823529
2023,"DA",0.0421052631578947
2024,"DA",0.0588235294117647
2025,"DA",0.0643985419198056
1990,"DA",0
1991,"DA",0
1992,"DA",0
1993,"DA",0
1994,"DA",0
1995,"DA",0
1996,"DA",0
1997,"DA",0.0485584218512898
1998,"DA",0.00621842207539837
1999,"DA",0.0706896551724138
2000,"DA",0.103579588728104
2001,"DA",0.304642166344294
2002,"DA",0.040650406504065
2003,"DA",0.0419911953945141
2004,"DA",0.0490874764002517
2005,"DA",0.0803964757709251
2006,"DA",0.186934673366834
2007,"DA",0.0615722924683892
2008,"DA",0.0627325890483785
2009,"DA",0.144416873449132
2010,"DA",0
2011,"DA",0
2012,"DA",0
2013,"DA",0
