"brand","cohort","sex","wt","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"5666",2000,"F",18.8,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5667",2000,"F",15.4,1,19,19,19,19,19,19,8,19,10,19,19,19,14,19,19,19,19,19,19,19,19,19,19,19
"5668",2000,"F",16.6,1,19,3,19,19,19,7,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5669",2000,"F",17.2,1,2,3,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5670",2000,"F",19.8,1,19,19,19,19,19,19,19,19,19,11,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5674",2000,"F",16.6,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5675",2000,"F",16.4,1,19,3,4,19,6,7,8,9,10,11,19,13,14,15,16,19,19,19,19,19,19,19,19,19
"5677",2000,"F",15.8,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5678",2000,"F",15.4,1,19,19,19,19,19,19,19,19,19,11,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5681",2000,"F",18.8,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5682",2000,"F",12,1,2,19,4,19,6,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5685",2000,"F",15.2,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5686",2000,"F",13,1,2,3,4,19,6,7,8,9,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5687",2000,"F",18.4,1,19,3,4,19,6,7,8,9,10,11,12,13,14,15,19,19,19,19,19,19,19,19,19,19
"5689",2000,"F",17.8,1,2,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5691",2000,"F",14.8,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5693",2000,"F",15.6,1,2,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5695",2000,"F",12.8,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5696",2000,"F",20,1,19,19,4,19,6,7,19,9,19,11,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5697",2000,"F",19.8,1,2,19,19,5,6,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5698",2000,"F",16.4,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5700",2000,"F",15.6,1,19,3,4,5,6,19,8,9,19,11,12,19,14,19,19,17,19,19,19,19,19,19,19,19
"5703",2000,"F",16.8,1,2,19,19,5,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5704",2000,"F",22.6,1,2,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5705",2000,"F",17.4,1,2,3,19,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18,18,19,19,19,19,19
"5706",2000,"F",16.6,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5707",2000,"F",23.2,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5709",2000,"F",12.8,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5710",2000,"F",13,1,19,3,4,19,6,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5711",2000,"F",16.8,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5712",2000,"F",15,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,18,18,18,19,19,19,19,19
"5714",2000,"F",17,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5715",2000,"F",16.4,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5716",2000,"F",16.8,1,2,3,4,5,6,7,8,9,10,19,12,13,14,15,16,17,19,19,19,19,19,19,19,19
"5718",2000,"F",20.4,1,2,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5720",2000,"F",18.6,1,19,3,4,5,6,7,8,9,10,19,19,13,14,19,19,19,19,19,19,19,19,19,19,19
"5721",2000,"F",18.2,1,2,19,4,19,6,7,8,9,10,11,12,13,19,19,19,19,19,19,19,19,19,19,19,19
"5722",2000,"F",20.6,1,19,3,4,19,6,7,8,9,10,11,12,13,14,15,19,17,18,18,18,19,18,18,19,19
"5723",2000,"F",18,1,2,19,4,5,6,7,8,9,19,11,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5725",2000,"F",16.4,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5726",2000,"F",13.2,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5730",2000,"F",18.8,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5731",2000,"F",14.4,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5732",2000,"F",15.4,1,19,3,19,5,6,7,8,9,19,11,12,13,19,19,19,19,19,19,19,19,19,19,19,19
"5733",2000,"F",17.4,1,19,19,19,19,19,19,19,19,19,11,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5735",2000,"F",17.2,1,2,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5736",2000,"F",21.4,1,19,3,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5737",2000,"F",13.6,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5739",2000,"F",23.4,1,2,19,4,19,6,7,8,9,10,19,12,13,19,19,19,19,19,19,19,19,19,19,19,19
"5740",2000,"F",19.6,1,19,19,19,19,6,19,8,19,19,19,12,13,14,15,16,19,19,19,19,19,19,19,19,19
"5742",2000,"F",18.4,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
