"brand","cohort","sex","wt","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"5671",2000,"M",15,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5672",2000,"M",20,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5673",2000,"M",19,1,19,3,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5676",2000,"M",21,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5679",2000,"M",19.2,1,19,19,4,5,19,7,8,9,10,11,19,13,14,19,16,17,18,18,18,19,19,19,19,19
"5680",2000,"M",20.1,1,19,3,4,19,6,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5683",2000,"M",19,1,19,19,19,5,19,19,8,9,19,19,12,19,19,19,19,19,19,19,19,19,19,19,19,19
"5684",2000,"M",20,1,19,19,19,19,6,7,19,19,19,19,12,13,19,19,19,19,19,19,19,19,19,19,19,19
"5688",2000,"M",15.8,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5690",2000,"M",19.2,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5692",2000,"M",16,1,2,3,4,5,19,7,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5694",2000,"M",24.2,1,2,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5699",2000,"M",20.4,1,2,19,4,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5701",2000,"M",17,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5702",2000,"M",19.8,1,19,3,4,5,6,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5708",2000,"M",19.8,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5713",2000,"M",22,1,2,3,4,19,6,7,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5717",2000,"M",16.2,1,2,3,4,5,6,7,8,9,10,19,12,13,14,19,19,19,19,19,19,19,19,19,19,19
"5719",2000,"M",21,1,2,3,4,5,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5724",2000,"M",17.8,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5727",2000,"M",21.8,1,2,3,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5728",2000,"M",18.2,1,2,3,19,5,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5729",2000,"M",15.4,1,19,3,4,5,6,7,19,19,19,19,12,13,14,15,19,19,19,19,19,19,19,19,19,19
"5734",2000,"M",22,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5738",2000,"M",19,1,2,3,19,5,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5741",2000,"M",28.8,1,19,3,4,5,19,19,8,19,10,19,12,13,14,19,19,19,19,19,19,19,19,19,19,19
"5744",2000,"M",13.8,1,2,3,4,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5749",2000,"M",20.2,1,19,19,4,19,6,19,8,19,10,11,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5750",2000,"M",16.2,1,2,3,4,19,19,19,8,9,10,11,12,19,19,19,19,19,19,19,19,19,19,19,19,19
"5752",2000,"M",22,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5756",2000,"M",19,1,19,19,4,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5760",2000,"M",18.8,1,19,19,19,5,6,19,8,9,19,19,19,13,19,19,19,19,19,19,19,19,19,19,19,19
"5769",2000,"M",20.4,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5775",2000,"M",17.2,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5781",2000,"M",13.8,1,2,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5784",2000,"M",13.6,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5788",2000,"M",24.8,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5789",2000,"M",19.4,1,19,19,4,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5794",2000,"M",19.4,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5796",2000,"M",18.8,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5801",2000,"M",18.6,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5802",2000,"M",18,1,19,19,4,19,6,7,8,9,19,19,12,19,14,15,19,19,19,19,19,19,19,19,19,19
"5810",2000,"M",17.8,1,19,19,19,5,6,7,8,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5812",2000,"M",11.8,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5814",2000,"M",21.6,1,19,19,4,5,6,7,8,9,10,11,12,13,14,19,19,19,19,19,19,19,19,19,19,19
"5819",2000,"M",20.8,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5821",2000,"M",18.4,1,2,19,4,5,6,7,8,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5823",2000,"M",17.8,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5827",2000,"M",13.4,1,2,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5828",2000,"M",19.6,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5830",2000,"M",18.6,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5831",2000,"M",22.4,1,2,3,4,5,6,19,8,9,10,11,12,13,19,19,16,19,19,19,19,19,19,19,19,19
"5834",2000,"M",17.6,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5837",2000,"M",20.6,1,2,3,19,5,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5841",2000,"M",20.4,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5842",2000,"M",18,1,19,19,19,19,6,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5847",2000,"M",16.8,1,2,3,4,5,6,19,8,19,10,11,12,19,14,19,19,19,19,19,19,19,19,19,19,19
"5853",2000,"M",17.6,1,2,3,4,5,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5854",2000,"M",19.8,1,19,19,4,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5864",2000,"M",20.6,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5869",2000,"M",16.6,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5872",2000,"M",22.2,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5873",2000,"M",23,1,19,3,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5878",2000,"M",14.2,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5879",2000,"M",17,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5885",2000,"M",22.4,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5888",2000,"M",14.4,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
